filename,dice,iou,sensitivity,specificity,inference_ms
kaggle_013.png,0.8671,0.7654,0.845,0.9926,574.7
kaggle_195.png,0.8635,0.7598,0.9547,0.9912,662.42
kaggle_120.png,0.8622,0.7578,0.821,0.9963,684.76
kaggle_164.png,0.8618,0.7571,0.8168,0.9946,652.93
kaggle_054.png,0.8603,0.7549,0.8355,0.9964,646.8
kaggle_169.png,0.8559,0.7481,0.8337,0.9949,638.95
kaggle_171.png,0.8482,0.7364,0.8293,0.9894,650.06
kaggle_002.png,0.8472,0.7349,0.8887,0.9921,649.55
kaggle_160.png,0.8451,0.7317,0.8102,0.9909,700.36
kaggle_172.png,0.845,0.7316,0.8362,0.9873,662.32
kaggle_039.png,0.8439,0.7299,0.8285,0.9934,597.73
kaggle_074.png,0.8433,0.729,0.7624,0.9957,631.74
kaggle_099.png,0.8388,0.7223,0.8088,0.9942,653.47
kaggle_173.png,0.838,0.7212,0.8364,0.9855,654.28
kaggle_024.png,0.8372,0.7199,0.8053,0.996,559.18
kaggle_049.png,0.8364,0.7188,0.8204,0.9944,662.93
kaggle_009.png,0.8333,0.7143,0.8545,0.9945,560.66
kaggle_075.png,0.8292,0.7082,0.7582,0.9939,674.32
kaggle_147.png,0.8241,0.7008,0.8457,0.9958,676.77
kaggle_131.png,0.8107,0.6817,0.8412,0.9909,683.41
kaggle_174.png,0.8098,0.6804,0.7839,0.9937,638.25
kaggle_181.png,0.8082,0.6782,0.7403,0.9965,620.75
kaggle_158.png,0.8047,0.6733,0.7454,0.9949,678.15
kaggle_042.png,0.7875,0.6496,0.6943,0.9985,606.18
kaggle_037.png,0.7833,0.6438,0.716,0.9968,619.71
kaggle_159.png,0.7616,0.6149,0.675,0.9935,655.34
kaggle_041.png,0.7558,0.6074,0.6997,0.996,653.96
kaggle_050.png,0.7517,0.6022,0.7437,0.9922,624.36
kaggle_153.png,0.7361,0.5824,0.8109,0.9904,667.19
kaggle_016.png,0.7333,0.579,0.6244,0.9981,625.3
kaggle_060.png,0.7188,0.561,0.6151,0.9937,682.04
kaggle_116.png,0.7086,0.5487,0.707,0.9725,680.51
kaggle_015.png,0.6893,0.5259,0.5516,0.9989,563.34
kaggle_059.png,0.6774,0.5122,0.5417,0.9956,676.44
kaggle_021.png,0.6614,0.4941,0.6019,0.9952,576.6
kaggle_040.png,0.6209,0.4502,0.5075,0.9969,595.02
kaggle_025.png,0.2183,0.1225,0.1327,0.9993,612.01
kaggle_026.png,0.1356,0.0727,0.0755,0.9993,621.83
